Name,Category,Stock,Color,Size,Period,Notes
Maxi Dress,Dresses and Skirts,1,Black with decorated bodice,S,,Hole in front and marks on bottom of dress
Velcro Dress,Dresses and Skirts,1,Black with floral,S,,No issues (velcro fastening)
Dress,Dresses and Skirts,1,green,6,,Marked on front
Sparkly Maxi Dress,Dresses and Skirts,1,Black glitter,M,,Seaming issues on sleeves and underarm
Dress,Dresses and Skirts,1,Red polkadot,8,50s,Stain to bodice front
Short-Sleeved Tunic Dress,Dresses and Skirts,1,Pale blue,12,,none
Midi Dress,Dresses and Skirts,1,blue,12,,Fastening at back can’t be closed
Harem Pants,Trousers and Shorts,1,yellow/orange patterned,M,,none
Long-Sleeved Pleated Dress,Dresses and Skirts,1,white,S,period,Staining on collar and front
Cotton Dress,Dresses and Skirts,1,blue,8,,none
Ballgown,Dresses and Skirts,1,Navy blue,S-M,,none
Long-Sleeved Full Dress,Dresses and Skirts,1,Blue and white flower pattern,M,,none
Midi Dress,Dresses and Skirts,1,red,S,,none
Dress,Dresses and Skirts,1,Tartan brown,S,,Threads coming away at back
Shirt Dress,Dresses and Skirts,1,Purple w floral decoration,S-M,,none
Dress,Dresses and Skirts,1,blue,10,Early 20th century,Stains on collar and front
Tunic Dress,Dresses and Skirts,1,purple,L,,none
Dress,Dresses and Skirts,1,Navy with white collar,S,,Stains on collar
Maxi Dress,Dresses and Skirts,1,black,10,,none
Period Dress,Dresses and Skirts,1,Black satin,M-L,period,Loose threads
Skater Dress,Dresses and Skirts,1,Black and grey check with black collar,14,,none
Work Dress,Dresses and Skirts,1,grey,10,,none
Pleated Dress,Dresses and Skirts,1,black,L,,none
Button-Up Dress,Dresses and Skirts,1,black,16,,none
Sheer Shirt,Tops and Shirts,1,orange,8,,none
Cloak,Tops and Shirts,1,black,L,,Stains to top
Cloak,Tops and Shirts,1,brown,L,,Stains to top
Button-Up Dress,Dresses and Skirts,1,patterned,24,,none
Slogan T-Shirt,Tops and Shirts,1,White with black letters ,S,,none
Top/Dress,Dresses and Skirts,1,Leopard dress,14,,none
Nightie/Slip Dress,Nightwear,1,Black with Patterned Bodice,10,,None
Wig,Hat,1,Grey,M,,None
Beanie,Hat,1,Green with Pink Trim ,S,,None
Flat-Peak Cap,Hat,1,Black with Beige Peak,S/M,,None
Hat,Hat,1,Black Suede,M,,None
Vest top,Vest,1,Black ,XL,,Marks on front
Bowler Hat,Hat,1,Black,Small,,None
Hat ,Hat,2,Black,Medium,,None
Rainbow clown wig,Hat,1,Various,Medium,,None
Fez,Hat,1,Orange,Small,,None
Fez,Hat,1,Red,Large,,None
Military Hats,Hat,2,Navy and Red,Small,military,1 pendent coming off
Beret,Hat,1,black,Small,,None
Pirate Hat,Hat,1,Brown,Medium,,None
Highwayman hat,Hat,1,Black with gold decor,Medium,,Gold decor coming away
Knitted Bobble hat,Hat,1,Brown white and gold,Any ,,None
Bald cap,Hat,1,White nude,Medium,,Marked
Convict caps,Hat,3,Black and white,"X2 medium
X1 small",,None
Convict tops ,Tops and Shirts,7,Black and white ,Medium ,,Various small stains
Convict Trousers,Trousers and Shorts,4,Black and white,medium,,Very few small stains 
Long-sleeved Top,Tops and Shirts,1,Red,Medium,,None
Baggy Trousers,Trousers and Shorts,1,Teal,Medium/Large,,None
